CpG,Weight
cg23191950,-0.5791194351691117
cg21211748,-2.5879252851461394
cg26665419,1.4483533938356457
cg20652640,-2.0835786970472814
cg23777956,3.5136260955573815
cg12556134,-5.6627646725202485
cg26149678,2.847362063496959
cg06419846,-4.252867859989712
cg18003795,4.923644048647882
cg13216057,-2.8006031961001416
cg20692569,4.505841762282656
cg06112560,6.520515708302892
cg14350002,8.76383780046622
cg01353448,-2.130007898217911
cg10501210,-9.919785794178464
cg10281002,7.75556178327437
cg08212685,2.2099034364199697
cg13854874,-5.072797309090613
cg26932976,-6.161458814207012
cg27560864,2.0175773801338543
cg02331561,-1.443142328480597
cg13269407,-0.9004682977153318
cg06327515,-6.808769388452017
cg12846567,1.6296466866915043
cg00261781,5.883834584385474
cg02630694,5.066294207721322
cg09722397,4.593320821556347
cg19510604,6.975249186014788
cg15381313,-1.549522896173147
cg21096399,16.48299966875384
cg01400401,7.655579171980494
cg25428451,-3.139994216196784
cg02151301,-2.2859493550849064
cg17758721,25.777054671053357
cg01056568,-8.397334543637516
cg02085953,-9.379010179055017
cg02599464,1.360927897198519
cg20100381,-4.217408288000461
cg19539004,1.079410465400501
cg21099326,0.596291240010235
cg08529529,14.05940505914824
cg08251036,-6.021973412527384
cg07211259,6.474217645200918
cg16168311,6.731946949087986
cg09630437,4.022716738831603
cg24229963,-3.348293537117423
cg10052840,-1.2039937496911544
cg07553761,-6.698388468918761
cg26096837,-3.410996195463561
cg13564075,-3.7481990937104332
cg21053529,-9.613398300465276
cg17627559,-6.704018468366693
cg04005032,6.656751690977358
cg20908204,-3.8797188528683604
cg10920957,10.931338435257212
cg16854606,-6.446544209972356
cg16408394,2.4658808323044243
cg03636183,5.168620918577402
cg03565323,2.516821819384021
cg20947775,1.2319110134860827
cg07817698,-2.388027461139576
cg02275294,-5.4535143159873805
cg07388493,-3.241977275516557
cg02631957,2.2111380542115233
cg22197830,-1.714360723292806
cg12247247,-3.612076447732468
cg11038843,-16.34780781455922
cg11426590,-2.284227729947182
cg23571857,4.105719630638018
cg06295856,-6.684461850713257
cg17129388,-2.623212073956808
cg20240860,-3.1434966883801327
cg08654655,8.183262519914289
cg22920873,-1.7147802974382322
cg07180649,-5.4922668520559865
cg11487705,-1.4347415289296415
cg26350286,-4.903876213468197
cg12238343,-3.506841783845542
cg13119609,2.080879348118859
cg14223995,0.745073745478345
cg12768605,2.050453385239239
cg18676053,-7.534087709951525
cg03623878,-4.325237087803694
cg00748589,3.0315700555966383
cg01114088,-0.939566684257511
cg02480835,-1.4701669356101397
cg06462291,8.802188028264158
cg10691387,1.460071009857816
cg00374717,-1.2773143424762654
cg01968178,-10.694690253386234
cg02388150,-0.7773811472700366
cg08169325,7.140003062355256
cg04007936,-2.59158268914637
cg13042288,8.45463708140132
cg15974053,-1.1216810737015415
cg07158339,-5.198173872912287
cg14689355,-6.343013746225427
cg21993406,2.800221585713192
cg26091688,2.449884597525862
cg22901840,-4.771891542751841
cg11833861,-8.07687403918298
cg19149785,1.6625005127242258
cg24429836,3.399244504522346
cg08586737,-9.341541516982108
cg15887846,10.136285030760494
cg00107488,-2.1081084301956325
cg25070637,5.735589995462428
cg06144905,3.5784871853708586
cg27244482,-7.857162664868765
cg02154074,3.9212757524375723
cg16358826,7.3759191448175905
cg22006386,-5.934066739970122
cg07589899,13.55564412249544
cg10865119,-2.4435123855676553
cg22568540,-6.32688271524135
cg02276665,-1.306498529110164
cg13323474,-6.31808244092671
cg24888049,-13.190720673617113
cg20572838,-1.7000882224177158
cg16408970,-0.6674322718625202
cg19346193,7.531653078844703
cg18267374,-2.3415620703730338
cg23710218,-15.97208988353984
cg04094160,-0.913065383251241
cg22947000,-4.645032755375359
cg06747888,3.702984009000257
cg07547549,1.510271188262596
cg13038560,4.377162399894455
cg00412805,-4.808574472023035
cg09434995,0.8933972053893101
cg13587552,1.6801187074115842
cg20747455,3.4726474297749585
cg09509673,-12.269182571541
cg12473775,-0.5090180914280462
cg16173067,1.370257693625089
cg08067365,-3.759356278482596
cg09480837,0.7886309079373119
cg00769520,4.723550741461995
cg12289045,-8.486954384956226
cg26312920,7.485142355862885
cg10591174,6.210059583687919
cg05093686,-3.449666107555616
cg04736140,-2.04822994450486
cg11896923,0.702374629145003
cg17397420,-1.8491588746419223
cg21363706,-1.5274838659164132
cg09294589,-6.336991960852504
cg20967028,-11.225987629095554
cg09799873,-3.4145851740831303
cg14894144,-12.395833867465107
cg12985418,-0.2307638833919533
cg24304712,2.1329125279032803
cg05276137,1.0756823379183071
cg00744433,-11.552777912528347
cg15611364,-13.103298438414877
cg19979773,-0.6003079541975398
cg06363129,-2.4291782536258437
cg05903609,0.3724334242374277
cg00168942,-6.436702125144634
cg16054275,-3.9733361631988986
cg17274064,-1.455807093457582
cg16749930,-4.095205909225383
cg10478221,2.4562859533585213
cg02332492,0.3669618266082829
cg18996776,-5.666354083745283
cg27092035,3.4785877099007707
cg13620770,5.412590793068177
cg16983159,5.025116561152865
cg14467840,-8.208198565322336
cg04601137,2.1845691391678153
cg15658426,-0.12730281614649272
cg09816471,-4.58605451542302
cg11490446,4.171357735804004
cg00230271,3.0411776553586636
cg11600161,-5.3398943984859235
cg03588357,5.531708584363096
cg01441777,11.461663506815913
cg02479575,6.292154261707331
cg17063929,-6.507661353045189
cg25683012,3.106898235817193
cg26581729,6.681029375588446
cg00945507,1.195325931021484
cg07929310,-3.364852600083686
cg12813792,12.447271738777369
cg00483154,5.315214239783079
cg23338195,-2.539905479211574
cg26620959,0.5374749642303742
cg02802055,-1.2425534932919444
cg07498421,-18.322050119139135
cg26921969,10.849864519282493
cg13656062,-3.5812765120760197
cg11299964,-12.029930455694213
cg20891917,6.7388243362936935
cg27505538,-4.929009133235228
cg09851465,-0.8253137430771867
cg11653266,-4.967550678034865
cg08893585,6.049972214230897
cg21219744,-3.221393541622274
cg05442902,-0.5715674337351832
cg17589341,2.386288071188172
cg22282672,8.074498707608166
cg14308452,-3.179079918024097
cg17324128,5.353388814262655
cg21494776,0.09938635396333328
cg18096388,9.900985450285098
cg26824091,-7.5409829862758
cg07038400,-0.5727730462980911
cg18881501,1.8443693342284886
cg08771731,1.9821674124036062
cg16713727,-2.750657981903734
cg26746469,-0.6520757810694678
cg03270204,-1.3384060348062463
cg13449372,5.57396068284904
cg26723847,-5.593756579716765
cg18230771,6.519887757561842
cg16295988,-8.994928595605874
cg18983672,2.8526799638400213
cg09646392,8.411247857143847
cg08035942,-5.289668801356576
cg19167673,0.0
cg16744741,-0.09120228834525801
cg03473532,-4.264828425575627
cg26394737,-6.665410963943066
cg19724470,-1.5865584143959408
cg25410668,17.225582199374063
cg04528819,-4.146512974340099
cg07595943,-3.7935176475941716
cg08234504,6.830571362931628
cg17729667,-4.916266293556572
cg16357381,-0.5963537944138612
cg19570545,3.5048826794943144
cg25148589,12.373279908373378
cg22407458,-1.5942191327292796
cg24499411,8.251906887317713
cg03641225,1.9524465778493414
cg08074477,6.43810633223956
cg06908778,-9.405007845879743
cg11459714,-0.3408895167587596
cg26697117,-0.6146511216945441
cg00955230,1.5409026391797378
cg06533629,4.927515112956449
cg01511567,3.4589469024502857
cg14528319,-4.182866291545624
cg04359302,0.03774536766625655
cg23786576,1.8653017531303748
cg24921089,-0.8574846634864971
cg25270252,8.71468761389296
cg15035273,-2.2695622420124506
cg20295671,1.8440596857660336
cg18117393,-19.14205506278013
cg01254459,-1.7044275489789884
cg15185286,0.36943900461817747
cg01459453,-11.271037486938646
cg19420968,14.498428670781093
cg20162159,-3.774073661248937
cg20173259,1.1387933609102059
cg07337598,11.9359862100039
cg22454769,-3.904364904251528
cg25928579,0.564780220858493
cg26456957,-0.4750491792944961
cg27665659,6.789630087810667
cg03007010,1.9576050734546027
cg09643544,-4.178139985405996
cg25136687,-9.361443780288655
cg08251399,-1.0984516085249525
cg22289837,0.6244184618950335
cg03819692,-3.4612115345751144
cg18691434,-0.43683050829975223
cg19287114,-2.6940659492011014
cg06134964,-0.17118139730022566
cg09133026,-13.90702396128107
cg16816226,-1.430331978165485
cg06557358,-9.827483534156269
cg02217159,-1.5473195200620893
cg26215727,-6.37407591546889
cg07408456,-14.690976938636618
cg24046474,-0.09587506522768612
cg11618577,7.603569222247264
cg00436603,5.708513893768061
cg05316065,-7.743599547100813
cg15642326,-2.1436263870565497
cg09118625,10.172409319841583
cg07849904,0.5405980984127237
cg22190114,5.809867771817727
cg24651706,-7.581558160082954
cg17966192,1.4793458670408868
cg08201421,-6.750290998395788
cg21201109,0.531204714507958
cg17038116,-1.6308698386766531
cg00297600,-3.8451001550047703
cg10636246,-2.548313114923221
cg23124451,-17.09395890985163
cg12978308,-2.517168398110537
cg22983092,8.251568608623234
cg23941599,7.6906181974837535
cg13994175,-0.07206943364831812
cg25478614,-2.143071845306271
cg19883905,-10.405840401107833
cg00862290,-1.1762793235927687
cg20090497,-1.4081927239992633
cg25022327,5.098091069085777
cg02047577,2.1708262478069034
cg24262469,9.255991011960703
cg20339650,9.981226614181791
cg06975311,14.237587508225642
cg12029639,3.6886382558381943
cg06738602,0.3735429909409385
cg15661409,-2.257582610775085
cg27655905,-2.5584516010852187
cg20907471,-1.7705507245772638
cg15988232,2.649912482781048
cg00462994,-6.88727827657445
cg22809047,4.087945158333025
cg08186124,-0.831332067421504
cg09191327,14.916821470434188
cg10486998,-6.1420430287438155
cg11850311,0.2622074427674342
cg18771300,0.4680836052208618
cg01269795,10.84394145456632
cg07455279,-7.880299038806879
cg13848598,8.663704180816103
cg22511262,-3.104994955836102
cg13514050,2.5725319070420403
cg21207418,0.05438727364027842
cg00091693,-4.0077474545991345
cg06639320,0.8161568912087726
cg01485645,2.6338872200837837
cg05755779,5.803621494887403
cg12324144,0.7074080981483774
cg12265604,6.220286861476658
cg23517605,-1.452481436943849
cg09556292,-3.7964551388399506
cg17749443,4.8541437230166355
cg25841091,-7.77546117537801
cg06993413,4.417069421176526
cg04289385,-1.0401875588641696
cg15881088,-1.1936792990668754
cg01131735,3.255160319117573
cg23159337,-4.800721020018808
cg23651728,17.88418361588433
cg14345676,-4.889290866532304
cg03330058,-5.689680901693556
cg04836038,-1.8267182443309307
cg19586576,-0.9831096145732773
cg26711820,-1.2783457825178803
cg02364642,13.725484343744444
cg16547529,0.13230996586068533
cg15703512,-24.49113513337403
cg07339138,-2.0842782775961095
